Name,ID
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,119551
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,119552
Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,119553
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,108272
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,110282
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,108274
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,110490
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,106157
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,108273
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,103176
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,119550
Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,128952
Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,120437
Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,120438
Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,120439
Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,120436
Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option,128953
Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW,117447
Axis Banking & PSU Debt Fund - Regular Plan - Growth option,117446
Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,117449
Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW,117448
Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW,152164
Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW,152163
Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth,152165
Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW,152166
Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth,152162
Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW,152167
Bandhan Banking and PSU Fund - Direct Annual IDCW,121936
Bandhan Banking and PSU Fund - Direct Daily IDCW,127471
Bandhan Banking and PSU Fund - Direct Fortnightly IDCW,121934
Bandhan Banking and PSU Fund - Direct Growth,121279
Bandhan Banking and PSU Fund - Direct IDCW,121281
Bandhan Banking and PSU Fund - Direct Monthly IDCW,121935
Bandhan Banking and PSU Fund - Direct Quarterly IDCW,121938
Bandhan Banking and PSU Fund - Regular Annual IDCW,121933
Bandhan Banking and PSU Fund - Regular Daily IDCW,127470
Bandhan Banking and PSU Fund - Regular Fortnightly IDCW,121931
Bandhan Banking and PSU Fund - Regular Growth,121280
Bandhan Banking and PSU Fund - Regular IDCW,121282
Bandhan Banking and PSU Fund - Regular Monthly IDCW,121932
Bandhan Banking and PSU Fund - Regular Quarterly IDCW,121937
Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,150505
Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout,150507
Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,150503
Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment),150504
DSP Banking & PSU Debt Fund - Direct Plan - Growth,124175
DSP Banking & PSU Debt Fund - Direct Plan - IDCW,124178
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest,124182
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly,124176
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly ,124177
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly,124183
DSP Banking & PSU Debt Fund - Regular Plan - Growth,124172
DSP Banking & PSU Debt Fund - Regular Plan - IDCW,124174
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest,124173
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly,124180
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly ,124181
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly,124179
Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,140286
Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option,140288
Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option,140291
Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option,140293
Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option,140290
Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option,140283
Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option,140284
Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option,140294
Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option,140292
Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option,140289
Franklin India Banking & PSU Debt Fund - Direct - Growth,129008
Franklin India Banking & PSU Debt Fund - Growth,129006
Franklin India Banking and PSU Debt Fund - Direct - IDCW ,129009
Franklin India Banking and PSU Debt Fund - IDCW ,129007
HDFC Banking and PSU Debt Fund - Growth Option,128628
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,128629
HDFC Banking and PSU Debt Fund - IDCW Option,128627
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan,128626
HSBC Banking and PSU Debt Fund - Direct Daily IDCW,151108
HSBC Banking and PSU Debt Fund - Direct Growth,151107
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW,151106
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW,151109
HSBC Banking and PSU Debt Fund - Regular Daily IDCW,151102
HSBC Banking and PSU Debt Fund - Regular Growth,151104
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW,151105
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW,151103
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW,112343
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW,112344
ICICI Prudential Banking and PSU Debt Fund - Bonus,130897
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW,120257
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth,120256
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW,120258
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW,120255
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus,130950
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option,131148
ICICI Prudential Banking and PSU Debt Fund - Growth,112342
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW,116174
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option,131147
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend,113247
ICICI Prudential Banking and PSU Debt Fund Retail Growth,113242
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend,113243
Invesco India Banking and PSU Fund - Direct Plan -  Growth Option,120444
Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment),120443
Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),120445
Invesco India Banking and PSU Fund - Regular Plan - Daily IDCW (Reinvestment),118234
Invesco India Banking and PSU Fund - Regular Plan - Growth Option,118232
Invesco India Banking and PSU Fund - Regular Plan - Monthly IDCW (Payout / Reinvestment),118233
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,148534
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option,148536
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option,148535
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option,148533
Kotak Banking and PSU Debt - Growth,123690
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option,123691
Kotak Banking and PSU Debt Direct - Annual Dividend,123689
Kotak Banking and PSU Debt Direct - Growth,123693
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option,123692
LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW,120337
LIC MF Banking & PSU Fund-Direct Plan-Growth,120338
LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW,120339
LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW,120336
LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW,105822
